名詞,名詞数,動詞,動詞数,形容詞,形容詞数
ねこ,1,歌う,2.0,,
遊び,1,聞く,22.0,,
確定,1,行なう,1.0,,
申告,2,演じる,1.0,,
意味,5,着る,5.0,,
不明,1,並ぶ,1.0,,
誰か,1,歩く,1.0,,
申請,1,付ける,1.0,,
データ,2,終わる,9.0,,
税,2,乗る,1.0,,
円,5,語れる,1.0,,
以上,4,抗う,2.0,,
税務署,1,進む,2.0,,
火,4,もらえる,6.0,,
日間,1,見せる,1.0,,
限定,3,踏み外す,1.0,,
神田,1,預かる,1.0,,
神保,1,尽きる,1.0,,
町,2,入る,7.0,,
動画,4,置く,1.0,,
チャンネル,1,支払う,1.0,,
コラボレーション,1,成り立つ,2.0,,
出会い,2,始める,3.0,,
一期一会,1,楽しむ,7.0,,
特集,4,伺う,4.0,,
登録,4,経つ,4.0,,
料,1,言い出せる,1.0,,
必要,10,言い出す,1.0,,
大変,6,繋がる,3.0,,
スーパー,3,訴える,1.0,,
接客,1,傾ける,1.0,,
業,2,蒸し返す,1.0,,
舞台,7,咲く,1.0,,
前線,1,きれる,1.0,,
敬意,1,抱く,2.0,,
それ,32,似る,3.0,,
まま,5,抱きしめる,1.0,,
感染,2,併せる,1.0,,
死亡,1,映す,5.0,,
リスク,1,想う,1.0,,
社会,19,探る,2.0,,
格差,4,解く,1.0,,
正規,1,活かす,1.0,,
雇用,1,出会う,6.0,,
虐待,1,作り上げる,1.0,,
家,10,拘る,1.0,,
様々,3,据える,1.0,,
立場,4,決まる,4.0,,
存在,3,熱す,1.0,,
想い,6,調べる,1.0,,
毎年,1,推す,1.0,,
秋,1,出せる,1.0,,
思い込み,1,連れる,1.0,,
いろいろ,1,かける,4.0,,
来年,2,育つ,4.0,,
開催,4,語る,2.0,,
今年,5,おく,2.0,,
実行,3,迷う,1.0,,
委員,4,癒す,1.0,,
募集,6,す,1.0,,
そう,9,通う,2.0,,
日程,2,詰める,1.0,,
土,4,信じる,3.0,,
場所,2,知れる,1.0,,
京都,1,切り捨てる,2.0,,
大学,2,稼げる,1.0,,
周辺,1,稼ぐ,3.0,,
みたい,12,届ける,2.0,,
大好き,5,作れる,2.0,,
皆さま,2,取り消す,1.0,,
無事,1,隠す,1.0,,
お祈り,2,誤魔化す,1.0,,
最近,15,延ばす,1.0,,
正直,2,沈む,1.0,,
活力,1,打つ,1.0,,
友人,3,分かる,3.0,,
表現,5,食べる,1.0,,
時間,10,押せる,1.0,,
わたし,4,落ち込む,1.0,,
酒,1,踊る,1.0,,
最高,5,話し合う,1.0,,
フロリダ,1,入り込む,1.0,,
プロジェクト,7,間違える,1.0,,
気,15,戻る,1.0,,
米,1,つながる,1.0,,
リスト,1,合える,1.0,,
簡単,3,あえる,1.0,,
支援,4,住める,1.0,,
活動,15,なくなる,2.0,,
民間,1,借りる,2.0,,
検察庁,1,しれる,2.0,,
法,6,伺える,1.0,,
改正,3,聴く,4.0,,
法案,1,聴き込む,1.0,,
抗議,3,与える,1.0,,
デモ,2,見守る,1.0,,
反対,7,増やせる,1.0,,
意思,1,運ぶ,1.0,,
可視,1,わける,1.0,,
化,2,取り出す,1.0,,
内閣,1,入れる,5.0,,
総理,1,驚く,3.0,,
大臣,2,開ける,1.0,,
要請,1,進める,5.0,,
高検,1,減らす,2.0,,
検事,2,増やす,2.0,,
長,3,あわせる,1.0,,
黒川,2,略す,1.0,,
弘,1,学ぶ,4.0,,
務,1,うる,1.0,,
氏,1,傷つける,1.0,,
違法,1,寄り添う,2.0,,
定年,1,合わせる,1.0,,
延長,1,効く,1.0,,
辞職,1,振り返る,1.0,,
部,8,残す,1.0,,
対策,1,虐げる,1.0,,
撮影,22,括る,2.0,,
予算,1,恐れる,1.0,,
準備,6,続ける,5.0,,
未来,2,追いつく,1.0,,
小池,1,みなす,1.0,,
百合子,1,わきまえる,1.0,,
都知事,1,歩む,2.0,,
都,1,生き残れる,1.0,,
関東大震災,1,褒める,2.0,,
朝鮮,5,とどまる,1.0,,
犠牲,1,見つける,2.0,,
追悼,2,祈る,1.0,,
式典,1,離せる,1.0,,
横網,1,流れる,1.0,,
公園,1,湧く,1.0,,
占有,2,思える,1.0,,
許可,4,頼る,1.0,,
条件,2,あげる,2.0,,
速やか,1,支える,1.0,,
アジア,2,やれる,1.0,,
差別,14,限る,2.0,,
過去,5,じゃう,1.0,,
問題,29,離れる,1.0,,
理解,2,酔っ払う,1.0,,
外国,2,話しかける,1.0,,
文部,1,いたむ,1.0,,
科学,1,怒る,2.0,,
省,2,履く,3.0,,
留学生,1,切り替わる,1.0,,
全員,3,学べる,1.0,,
現金,1,背ける,2.0,,
給付,3,踏まえる,1.0,,
賭け,2,揃う,1.0,,
麻雀,2,流行る,5.0,,
以前,6,取り上げる,1.0,,
そこ,2,触れる,2.0,,
追及,1,至る,1.0,,
点,4,覚える,1.0,,
むや,1,誘う,1.0,,
辞任,1,許す,1.0,,
トカゲ,1,脅かす,1.0,,
切り,1,寝る,2.0,,
検察,1,起こす,1.0,,
首相,4,闘う,2.0,,
捜査,1,デモる,1.0,,
助監督,8,示す,1.0,,
演技,2,値切る,1.0,,
事務,1,払う,1.0,,
助手,4,まとめる,1.0,,
可,1,騙す,1.0,,
多く,12,返す,1.0,,
厚生,3,減る,2.0,,
労働,4,生む,1.0,,
日本,26,目指す,1.0,,
女性,75,応える,1.0,,
確実,1,持ち帰れる,1.0,,
避妊,4,つまる,1.0,,
承認,2,詰まる,2.0,,
世界,7,残せる,1.0,,
ピル,2,迫る,1.0,,
以外,4,出来上がる,1.0,,
シール,1,似通う,1.0,,
身体,1,乗せる,1.0,,
方法,4,配る,3.0,,
性,21,落とす,1.0,,
生殖,2,見つめる,1.0,,
権利,2,垣間見る,1.0,,
健康,1,える,1.0,,
分野,1,晴れる,2.0,,
遅れ,1,寄り添える,1.0,,
常識,1,図る,1.0,,
デザイン,6,駆け抜ける,1.0,,
洗練,1,盛り上げる,1.0,,
指数,1,分かれる,1.0,,
位,9,こだわる,2.0,,
本文,1,会える,2.0,,
引用,1,投じる,1.0,,
キー,1,染みる,1.0,,
局,1,帰る,1.0,,
全国,2,気に入る,1.0,,
ブロック,1,,,,
紙,1,,,,
役員,2,,,,
比率,2,,,,
ワースト,1,,,,
ランキング,1,,,,
フジテレビ,1,,,,
％,8,,,,
日本テレビ,1,,,,
日本経済新聞,1,,,,
テレビ朝日,1,,,,
毎日新聞,1,,,,
読売新聞,1,,,,
産経新聞,1,,,,
西日本,1,,,,
新聞,1,,,,
ゼロ,2,,,,
