名詞,名詞数,動詞,動詞数,形容詞,形容詞数
不平等,1,運ぶ,2.0,,
性別,1,鍛える,1.0,,
みんな,1,聞き返す,1.0,,
一緒,7,重なり合う,1.0,,
社会,9,響く,1.0,,
行動,5,作る,5.0,,
森,3,骨折る,1.0,,
会長,1,たまる,2.0,,
辞任,1,堪える,1.0,,
歩,2,組み込む,1.0,,
家族,5,とどく,1.0,,
省,3,書く,2.0,,
発表,3,つなぐ,1.0,,
登録,4,なくなる,2.0,,
生存,2,通じる,1.0,,
伊藤,8,触れる,3.0,,
詩織,9,つぶす,1.0,,
意見,4,立ち向かう,1.0,,
陳述,2,打ち出す,1.0,,
書,3,眠る,1.0,,
全文,1,尽くす,1.0,,
掲載,5,残す,1.0,,
エスコート,1,使いこなす,1.0,,
すぎ,2,磨く,1.0,,
バック,3,帰す,1.0,,
ラッシュ,2,紡ぐ,1.0,,
連続,4,痛める,1.0,,
講座,6,しまう,3.0,,
山口,4,犯す,1.0,,
智美,2,見える,1.0,,
司会,5,除く,1.0,,
担当,6,働く,1.0,,
皆さま,1,出る,6.0,,
テーマ,3,買う,1.0,,
右派,1,起こす,2.0,,
戦,1,入る,2.0,,
川越,1,かかる,1.0,,
南,1,育てる,1.0,,
古谷,1,生まれる,1.0,,
病院,1,守る,2.0,,
新型,2,あてる,1.0,,
コロナ,5,済む,1.0,,
ワクチン,2,置く,1.0,,
接種,4,改める,1.0,,
予約,8,過ごす,1.0,,
今日,16,与える,2.0,,
さいたま,2,感じる,1.0,,
もの,14,救う,1.0,,
最高裁,2,含む,1.0,,
国民,1,学ぶ,2.0,,
審査,2,分かる,1.0,,
宇賀,1,受け入れる,1.0,,
判事,2,阿る,1.0,,
バツ,2,立ち上がる,1.0,,
あと,6,変わる,6.0,,
金,4,解き明かす,1.0,,
池袋,3,経る,1.0,,
公開,3,追い込む,1.0,,
見逃し,2,絶つ,1.0,,
本日,3,逃げる,1.0,,
メモリアル,2,取り上げる,2.0,,
デー,3,憤る,1.0,,
追悼,3,禁じる,1.0,,
出席,3,得る,2.0,,
戦時,3,書き留める,1.0,,
尊厳,3,値する,1.0,,
回復,6,図る,1.0,,
方々,3,綴る,1.0,,
世の中,2,記す,2.0,,
