名詞,名詞数,動詞,動詞数,形容詞,形容詞数
進展,1,含める,1.0,,
違い,1,見付ける,1.0,,
キムラ,12,纏める,1.0,,
キョウコ,9,打ち込む,1.0,,
五,1,基づく,1.0,,
井,1,変わる,2.0,,
諸君,1,見せる,3.0,,
記憶,3,進める,2.0,,
後,9,止める,12.0,,
結局,4,名乗る,4.0,,
挙手,1,勝つ,6.0,,
投足,1,選ぶ,2.0,,
深読み,1,覗く,3.0,,
妄想,4,出回る,1.0,,
段階,3,成り済ます,7.0,,
宗教,1,出す,20.0,,
気,14,揃う,2.0,,
ブロック-block,21,撒く,1.0,,
解除,10,腫れる,1.0,,
顔,7,救う,10.0,,
女,7,無くす,2.0,,
伯父,21,手掛ける,1.0,,
ぶつかり,2,浸かる,1.0,,
棒,2,存ずる,1.0,,
答弁,2,持ち上げる,1.0,,
内容,10,引く-他動詞,1.0,,
弁護,99,通る,8.0,,
添削,1,飽きる,3.0,,
不安,2,食う,1.0,,
材料,1,続く,2.0,,
理由,4,抱える,1.0,,
開示,45,急ぐ,1.0,,
賠償,4,任せる,1.0,,
抑,8,起きる,6.0,,
保護,18,覆う,3.0,,
無敵,4,守る,5.0,,
側,9,明く,1.0,,
効率,1,飛ぶ,2.0,,
比喩,3,巻く,3.0,,
表現,3,差さる,6.0,,
請求,20,張る,3.0,,
オザワ,6,変える,3.0,,
疑問,2,追い込む,1.0,,
害悪,4,病む,2.0,,
某氏,1,立つ,4.0,,
底辺,2,逃げる,4.0,,
ガム-gum,1,突き止める,1.0,,
ティー-tea,1,疑う,1.0,,
実際,2,隠す,3.0,,
認定,1,装う,3.0,,
原告,4,ぱくる,2.0,,
セーフ-safe,4,起こる,1.0,,
理論,1,頼る,1.0,,
適用,1,引っ掛かる,2.0,,
本人,5,残す,2.0,,
普段,4,繰り返す,2.0,,
何,3,喋る,5.0,,
作品,4,言い詰まる,1.0,,
関連,1,飼う,2.0,,
実名,2,苦しめる,1.0,,
垢,33,触る,1.0,,
多用,1,含む,1.0,,
侮辱,2,透ける,1.0,,
受忍,5,残る,5.0,,
限度,6,生きる,3.0,,
感じ,13,愚痴る,3.0,,
回答,2,省く,1.0,,
予想,5,御座る,3.0,,
煽り,2,染みる,1.0,,
自身,2,比べる,1.0,,
アンチ-anti,9,起こす,2.0,,
前,10,連れ込む,2.0,,
同,3,襲う,1.0,,
レベル-level,9,膨らむ,1.0,,
通報,6,仕掛ける,1.0,,
凍結,3,掻く,1.0,,
今,20,得る,3.0,,
所,6,慌てる,1.0,,
次,5,開く,2.0,,
海外,2,生き返る,2.0,,
フォロー-follow,31,負う,1.0,,
一時,1,生む,1.0,,
鍵,10,取り消す,1.0,,
速報,13,当てる,1.0,,
近く,2,頼む,1.0,,
アルパカ-alpaca,20,飛び掛かる,1.0,,
社長,20,吠える,1.0,,
プレス-press,2,断つ,1.0,,
リリース-release,2,崩す,1.0,,
会社,5,休む,2.0,,
凸,4,手伝う,1.0,,
程度,6,逸る,1.0,,
業務,7,間違える,2.0,,
妨害,7,辿り着く,2.0,,
成立,3,始める,2.0,,
マイ-my,4,飛ばす,1.0,,
ナンバー-number,10,打つ,1.0,,
要求,2,吸い付く,1.0,,
表面,1,削る,2.0,,
番号,3,怪しむ,1.0,,
示談,23,目覚める,1.0,,
過程,3,申し上げる,1.0,,
確認,6,突き込む,1.0,,
名目,1,擦れる,1.0,,
問題,12,凝る,1.0,,
本真,7,動かす,1.0,,
他,7,信ずる,4.0,,
住所,7,盛り上がる,1.0,,
示唆,1,振り上げる,1.0,,
訴訟,10,下ろす,1.0,,
提起,2,入り浸る,1.0,,
証明,4,流れる,1.0,,
職場,2,止まる,2.0,,
実家,4,支える,1.0,,
脅迫,4,頑張る,3.0,,
素人,7,黙る,2.0,,
訳,14,捨てる,1.0,,
チョック-chock,20,干る,3.0,,
リー-Lee,20,貶める,1.0,,
チェック-check,4,付き出す,1.0,,
反吐,1,争う,1.0,,
リーガル,20,現われる,1.0,,
ライン-line,7,次ぐ,1.0,,
際,1,ぶれる,1.0,,
アウト-out,17,食らう,1.0,,
断言,3,育つ,1.0,,
保険,1,作り出す,1.0,,
辺り,3,裁く,1.0,,
不快,2,託ける,1.0,,
社会,10,掛け合う,1.0,,
通念,1,為さる,1.0,,
行為,7,当て擦る,1.0,,
