時間,日曜,月曜,火曜,水曜,木曜,金曜,土曜
00,1.0,3.0,1.0,2.0,4.0,12.0,6.0
01,1.0,3.0,3.0,6.0,2.0,9.0,2.0
02,2.0,4.0,3.0,3.0,2.0,,2.0
03,1.0,4.0,1.0,5.0,1.0,4.0,3.0
04,,3.0,1.0,6.0,4.0,7.0,3.0
05,,5.0,,2.0,1.0,7.0,2.0
06,,4.0,6.0,4.0,4.0,5.0,1.0
07,,1.0,,,3.0,3.0,
08,1.0,2.0,,1.0,,3.0,5.0
09,,,,2.0,2.0,3.0,
10,1.0,,,,,,
14,,,,,,1.0,
17,1.0,,,2.0,,2.0,
18,,2.0,,5.0,1.0,,
19,4.0,4.0,2.0,5.0,,2.0,2.0
20,1.0,4.0,5.0,4.0,,3.0,6.0
21,,4.0,4.0,4.0,8.0,,1.0
22,1.0,2.0,4.0,4.0,4.0,,4.0
23,3.0,1.0,5.0,2.0,8.0,,1.0
