組み合わせ,共起回数
"今, 思う",10
"みたい, 今, 思う",12
"みたい, 今",12
"みたい, みたい, 今",13
"ファン, 思う",10
"すごい, 思う, 時",12
"すごい, みたい, 思う, 時",22
"すごい, みたい, 時",22
"すごい, みたい, みたい, 時",24
"思う, 時",16
"みたい, 思う, 時",21
"みたい, 時",17
"みたい, みたい, 時",15
"すごい, みたい",12
"すごい, みたい, 思う",14
"みたい, 思う",15
"ジャ, 思う",11
"ニーズ, 思う",11
"ジャ, ニーズ, 思う",12
"ジャ, ニーズ",14
"すごい, 思う",22
"思う, 思う",15
